orderId,customerId,productId,quantity,unitPrice,country,orderDate
T0000100,C00817,P0187,5,382.86,UK,2024-07-25
T0000101,C01787,P0177,3,120.83,UK,2024-10-23
T0000102,C01520,P0159,3,182.59,Canada,2024-02-07
T0000103,C00828,P0141,2,206.48,Canada,2024-11-24
T0000104,C00638,P0101,5,475.9,Canada,2024-01-14
T0000105,C00954,P0086,4,51.55,Germany,2024-10-30
T0000106,C00041,P0002,1,378.99,Brazil,2024-02-02
T0000107,C00248,P0190,4,384.9,Brazil,2024-03-15
T0000108,C01185,P0190,1,400.39,Israel,2024-12-15
T0000109,C00568,P0156,2,254.89,Israel,2024-04-24
T0000110,C00259,P0112,3,363.12,Japan,2024-03-16
T0000111,C01772,P0070,1,18.08,Canada,2024-01-24
T0000112,C01069,P0054,3,240.65,Germany,2024-07-21
T0000113,C01391,P0077,5,79.01,UK,2024-05-10
T0000114,C00951,P0187,1,365.67,UK,2024-05-12
T0000115,C00054,P0083,4,262.2,USA,2024-01-03
T0000116,C01442,P0060,5,380.71,France,2024-01-10
T0000117,C00139,P0119,4,121.18,USA,2024-01-24
T0000118,C01495,P0013,3,122.21,Brazil,2024-05-17
T0000119,C01761,P0019,2,215.1,France,2024-11-30
T0000120,C00464,P0073,2,158.06,Canada,2024-06-06
T0000121,C01474,P0091,4,56.2,France,2024-07-27
T0000122,C00598,P0113,3,329.64,Brazil,2024-09-06
T0000123,C00693,P0077,5,81.57,Spain,2024-02-11
T0000124,C00703,P0017,3,231.61,Canada,2024-07-28
T0000125,C00088,P0136,2,161.27,Brazil,2024-06-28
T0000126,C01590,P0057,1,102.09,Germany,2024-06-17
T0000127,C00271,P0158,3,290.02,France,2024-09-03
T0000128,C00520,P0185,2,380.66,Japan,2024-07-11
T0000129,C01649,P0088,2,79.55,France,2024-08-25
T0000130,C00354,P0062,2,158.68,Canada,2024-12-16
T0000131,C00899,P0045,1,57.47,Germany,2024-06-29
T0000132,C01399,P0057,3,103.85,USA,2024-12-14
T0000133,C00615,P0046,4,370.38,Canada,2024-03-05
T0000134,C00188,P0187,5,360.89,Canada,2024-01-26
T0000135,C01183,P0184,1,476.03,Japan,2024-06-13
T0000136,C01957,P0180,1,403.97,Japan,2024-09-20
T0000137,C01869,P0076,1,259.02,Canada,2024-03-27
T0000138,C01017,P0000,2,214.56,Israel,2024-05-06
T0000139,C01426,P0045,3,56.42,Spain,2024-05-29
T0000140,C01360,P0057,4,100.94,Brazil,2024-09-09
T0000141,C00995,P0101,4,483.21,USA,2024-07-26
T0000142,C00331,P0129,2,34.52,Germany,2024-12-14
T0000143,C01837,P0088,2,80.89,Japan,2024-09-28
T0000144,C00444,P0084,1,232.14,Germany,2024-07-19
T0000145,C00795,P0042,1,123.34,Germany,2024-04-04
T0000146,C00942,P0017,2,277.11,Israel,2024-03-11
T0000147,C01657,P0025,2,329.08,Spain,2024-08-13
T0000148,C00208,P0193,1,172.53,Canada,2024-03-04
T0000149,C00795,P0185,1,365.86,Israel,2024-06-26
T0000150,C00231,P0077,5,75.92,Italy,2024-04-29
T0000151,C01033,P0000,3,196.05,Italy,2024-01-26
T0000152,C01529,P0077,4,78.46,USA,2024-12-26
T0000153,C01988,P0175,1,230.55,UK,2024-12-29
T0000154,C00777,P0087,1,129.6,Israel,2024-09-13
T0000155,C01649,P0156,5,241.68,Brazil,2024-11-27
T0000156,C01971,P0162,4,415.23,Canada,2024-04-06
T0000157,C00787,P0046,1,342.82,USA,2024-07-16
T0000158,C00825,P0142,1,58.35,France,2024-04-24
T0000159,C00536,P0113,3,326.19,Italy,2024-06-06
T0000160,C00777,P0071,5,73.85,Israel,2024-09-02
T0000161,C01015,P0152,3,383.3,Canada,2024-08-03
T0000162,C01603,P0180,4,389.79,Germany,2024-02-21
T0000163,C00139,P0015,5,117.31,USA,2024-06-28
T0000164,C00490,P0119,2,144.41,Italy,2024-12-04
T0000165,C00066,P0084,3,263.08,France,2024-02-08
T0000166,C01149,P0132,2,247.09,UK,2024-01-27
T0000167,C00387,P0134,1,197.49,Israel,2024-07-29
T0000168,C01982,P0095,4,190.55,Germany,2024-05-25
T0000169,C00164,P0146,1,213.26,Israel,2024-07-17
T0000170,C01565,P0128,2,392.39,UK,2024-03-10
T0000171,C00311,P0159,3,203.78,Canada,2024-07-31
T0000172,C01080,P0045,4,60.68,Israel,2024-02-26
T0000173,C00196,P0013,4,139.12,Canada,2024-11-20
T0000174,C01350,P0046,1,372.07,Germany,2024-04-15
T0000175,C01572,P0185,2,322.77,Spain,2024-02-09
T0000176,C01118,P0057,2,104.87,USA,2024-10-31
T0000177,C01440,P0054,4,213.43,Spain,2024-05-27
T0000178,C01496,P0019,3,214.04,France,2024-12-22
T0000179,C00988,P0075,1,357.79,Japan,2024-04-27
T0000180,C01317,P0077,3,69.64,Canada,2024-02-01
T0000181,C00200,P0193,5,204.1,Canada,2024-06-16
T0000182,C00088,P0158,5,284.4,UK,2024-02-18
T0000183,C01166,P0019,5,235.37,Germany,2024-05-01
T0000184,C01554,P0160,5,296.83,Spain,2024-11-07
T0000185,C00134,P0078,1,407.27,Spain,2024-02-03
T0000186,C00748,P0113,3,393.27,France,2024-03-15
T0000187,C00165,P0130,4,249.82,USA,2024-12-31
T0000188,C01261,P0042,3,113.22,UK,2024-08-11
T0000189,C00865,P0134,5,231.18,Italy,2024-09-06
T0000190,C00875,P0089,2,171.19,UK,2024-04-12
T0000191,C00003,P0074,2,115.8,Japan,2024-01-12
T0000192,C01624,P0084,4,271.16,Canada,2024-01-04
T0000193,C00898,P0175,5,232.81,Spain,2024-06-19
T0000194,C01556,P0136,4,156.88,Canada,2024-03-14
T0000195,C00655,P0184,2,448.21,Israel,2024-01-18
T0000196,C00752,P0120,1,140.6,Italy,2024-04-09
T0000197,C00742,P0048,5,345.48,UK,2024-01-14
T0000198,C00140,P0103,5,348.25,Israel,2024-06-10
T0000199,C01037,P0129,1,37.91,Brazil,2024-10-25
T0000200,C01651,P0046,3,329.2,Japan,2024-04-25
T0000201,C01702,P0101,5,444.83,USA,2024-05-25
T0000202,C00606,P0013,3,116.41,Canada,2024-12-14
T0000203,C01086,P0059,3,299.88,Japan,2024-04-25
T0000204,C01490,P0054,3,209.18,Japan,2024-07-18
T0000205,C00804,P0042,5,112.87,Germany,2024-12-13
T0000206,C00365,P0195,2,116.44,Japan,2024-08-22
T0000207,C00265,P0031,4,403.9,USA,2024-07-18
T0000208,C00280,P0096,3,320.74,Italy,2024-07-09
T0000209,C00263,P0017,2,281.43,USA,2024-04-03
T0000210,C01069,P0076,3,297.69,Spain,2024-06-30
T0000211,C00312,P0116,2,67.96,Israel,2024-08-02
T0000212,C01291,P0120,2,135.12,Germany,2024-07-14
T0000213,C01001,P0085,2,121.94,UK,2024-07-31
T0000214,C01859,P0119,1,147.02,USA,2024-02-05
T0000215,C01285,P0013,1,121.79,France,2024-11-28
T0000216,C00241,P0045,4,61.78,Germany,2024-01-17
T0000217,C01615,P0046,1,320.02,Italy,2024-06-03
T0000218,C00456,P0184,2,414.77,Germany,2024-10-11
T0000219,C01319,P0088,2,80.21,Japan,2024-04-07
T0000220,C01222,P0117,2,196.03,Brazil,2024-10-31
T0000221,C00984,P0036,1,175.87,Israel,2024-08-13
T0000222,C00661,P0026,1,311.29,Israel,2024-07-04
T0000223,C00696,P0131,2,101.77,France,2024-05-16
T0000224,C00780,P0059,3,371.61,Canada,2024-05-13
T0000225,C01914,P0190,1,386.34,Japan,2024-09-28
T0000226,C01898,P0134,3,191.85,Brazil,2024-08-17
T0000227,C01881,P0119,5,136.61,Israel,2024-04-24
T0000228,C00979,P0101,2,421.27,France,2024-02-23
T0000229,C00314,P0147,5,429.68,Italy,2024-04-24
T0000230,C01041,P0159,2,189.17,Germany,2024-06-20
T0000231,C00344,P0119,5,125.85,Spain,2024-09-23
T0000232,C00506,P0084,5,228.49,Spain,2024-09-20
T0000233,C00971,P0185,3,389.27,USA,2024-06-06
T0000234,C01059,P0157,4,61.66,Japan,2024-08-27
T0000235,C01809,P0134,5,231.28,Spain,2024-04-21
T0000236,C01207,P0088,1,87.46,France,2024-10-28
T0000237,C00858,P0069,5,203.46,Spain,2024-05-02
T0000238,C01608,P0077,5,73.23,Japan,2024-09-11
T0000239,C01123,P0112,4,353.29,Canada,2024-05-02
T0000240,C01235,P0023,2,427.51,USA,2024-03-23
T0000241,C01191,P0127,1,448.14,Japan,2024-05-21
T0000242,C01508,P0061,2,378.31,France,2024-03-01
T0000243,C01957,P0101,2,408.46,Italy,2024-07-01
T0000244,C01401,P0152,3,404.73,Israel,2024-05-27
T0000245,C00150,P0125,4,119.32,Japan,2024-07-11
T0000246,C01519,P0028,1,462.51,Italy,2024-05-11
T0000247,C00905,P0157,4,67.63,UK,2024-11-05
T0000248,C00591,P0075,4,319.72,Canada,2024-03-16
T0000249,C00743,P0190,4,383.37,Canada,2024-09-11
T0000250,C01749,P0177,4,127.79,France,2024-06-22
T0000251,C01247,P0070,1,18.63,UK,2024-06-29
T0000252,C01764,P0070,3,18.67,Japan,2024-01-02
T0000253,C01059,P0134,3,213.55,Italy,2024-11-20
T0000254,C01870,P0190,3,380.34,USA,2024-01-10
T0000255,C00782,P0085,2,132.91,Brazil,2024-11-17
T0000256,C01660,P0065,5,292.02,UK,2024-12-05
T0000257,C01192,P0173,2,125.09,Canada,2024-05-24
T0000258,C00960,P0075,1,358.61,France,2024-04-23
T0000259,C01183,P0136,1,159.97,Israel,2024-07-09
T0000260,C00298,P0056,3,323.03,USA,2024-01-18
T0000261,C00279,P0125,2,125.05,Canada,2024-10-09
T0000262,C00947,P0198,2,373.82,Italy,2024-03-28
T0000263,C01067,P0013,5,119.53,Japan,2024-06-14
T0000264,C01709,P0025,5,274.31,Germany,2024-12-27
T0000265,C01660,P0015,3,116.49,Italy,2024-03-29
T0000266,C01029,P0054,3,245.14,Israel,2024-04-25
T0000267,C01942,P0057,1,104.61,Brazil,2024-11-26
T0000268,C01229,P0155,2,29.16,UK,2024-10-07
T0000269,C00254,P0054,4,249.49,Italy,2024-04-15
T0000270,C01566,P0148,5,266.43,Italy,2024-03-20
T0000271,C01275,P0019,5,197.18,France,2024-09-15
T0000272,C00151,P0065,2,245.92,France,2024-01-11
T0000273,C00088,P0192,5,254.5,USA,2024-01-13
T0000274,C01749,P0151,1,386.48,France,2024-10-31
T0000275,C01018,P0059,1,342.94,Canada,2024-02-20
T0000276,C01558,P0068,5,81.86,Israel,2024-06-13
T0000277,C01016,P0136,1,143.96,Brazil,2024-11-09
T0000278,C01397,P0013,4,117.91,UK,2024-11-30
T0000279,C00241,P0172,2,131.06,Germany,2024-02-10
T0000280,C00020,P0031,3,406.25,Brazil,2024-03-09
T0000281,C01622,P0088,2,79.17,Israel,2024-02-23
T0000282,C00282,P0050,3,246.71,Germany,2024-05-20
T0000283,C00983,P0109,5,48.8,Israel,2024-03-22
T0000284,C01921,P0193,2,210.49,USA,2024-05-30
T0000285,C01351,P0188,4,397.19,Canada,2024-02-07
T0000286,C00303,P0185,4,384.91,Canada,2024-11-29
T0000287,C00478,P0010,3,450.63,Brazil,2024-12-22
T0000288,C00082,P0169,5,68.71,USA,2024-09-20
T0000289,C01235,P0044,4,304.98,Brazil,2024-10-09
T0000290,C00444,P0088,2,90.07,France,2024-02-24
T0000291,C01018,P0065,1,258.48,USA,2024-08-08
T0000292,C01277,P0065,1,284.72,Israel,2024-07-02
T0000293,C01364,P0194,3,368.1,UK,2024-04-03
T0000294,C01739,P0094,4,247.4,Israel,2024-10-03
T0000295,C01469,P0101,1,483.05,Canada,2024-04-13
T0000296,C01875,P0079,4,277.99,UK,2024-02-07
T0000297,C00352,P0078,3,416.74,UK,2024-11-14
T0000298,C01259,P0117,5,188.38,Canada,2024-10-19
T0000299,C00710,P0134,4,199.54,Brazil,2024-01-23
T0000300,C01758,P0138,3,49.22,Italy,2024-03-05
T0000301,C01369,P0166,5,301.65,Canada,2024-10-28
T0000302,C00952,P0057,1,111.32,France,2024-04-06
T0000303,C01242,P0075,1,359.86,Italy,2024-03-24
T0000304,C00652,P0134,3,227.22,Canada,2024-01-31
T0000305,C01059,P0113,5,371.93,Israel,2024-10-15
T0000306,C01290,P0057,4,101.13,Italy,2024-12-10
T0000307,C00161,P0027,2,214.59,USA,2024-09-15
T0000308,C01660,P0101,1,406.13,Germany,2024-10-28
T0000309,C00166,P0134,2,194.85,Brazil,2024-01-27
T0000310,C01596,P0185,4,324.59,Italy,2024-06-28
T0000311,C00020,P0054,1,222.79,Italy,2024-03-08
T0000312,C00968,P0180,1,332.05,France,2024-01-31
T0000313,C01061,P0188,2,352.83,Israel,2024-07-07
T0000314,C01375,P0185,1,399.43,USA,2024-11-08
T0000315,C00437,P0185,4,354.13,Japan,2024-02-22
T0000316,C01155,P0185,3,396.89,UK,2024-10-14
T0000317,C00494,P0019,4,223.3,Germany,2024-01-19
T0000318,C01520,P0005,2,108.25,UK,2024-08-13
T0000319,C01760,P0140,3,246.46,Spain,2024-03-08
T0000320,C01733,P0069,2,172.22,France,2024-07-12
T0000321,C00755,P0198,5,339.57,Israel,2024-08-24
T0000322,C01190,P0084,3,268.37,UK,2024-09-23
T0000323,C00018,P0109,1,50.08,Italy,2024-05-01
T0000324,C01732,P0156,1,253.21,Spain,2024-07-13
T0000325,C00425,P0185,3,383.1,UK,2024-01-12
T0000326,C00688,P0167,5,317.36,USA,2024-02-09
T0000327,C00199,P0197,3,231.44,France,2024-07-28
T0000328,C01364,P0185,5,320.73,France,2024-12-14
T0000329,C01759,P0013,1,138.99,USA,2024-12-29
T0000330,C00078,P0171,4,402.94,Spain,2024-11-16
T0000331,C00121,P0022,1,168.29,UK,2024-10-15
T0000332,C01409,P0165,4,392.05,Spain,2024-04-04
T0000333,C00210,P0161,3,215.27,France,2024-09-02
T0000334,C01518,P0054,2,213.64,Germany,2024-04-20
T0000335,C01493,P0062,4,164.82,Japan,2024-05-06
T0000336,C01755,P0194,2,391.54,Spain,2024-08-06
T0000337,C00047,P0190,5,412.06,Israel,2024-05-02
T0000338,C00728,P0057,3,95.59,Brazil,2024-08-09
T0000339,C01168,P0152,3,382.32,Israel,2024-04-07
T0000340,C01490,P0198,4,335.81,Israel,2024-08-04
T0000341,C00008,P0017,5,238.37,Germany,2024-02-20
T0000342,C00605,P0185,4,380.06,Japan,2024-12-31
T0000343,C00267,P0048,2,297.74,USA,2024-07-26
T0000344,C00676,P0028,1,473.49,UK,2024-03-24
T0000345,C01723,P0129,3,36.6,Spain,2024-10-17
T0000346,C00701,P0088,2,79.67,UK,2024-11-17
T0000347,C01827,P0155,1,31.3,France,2024-12-17
T0000348,C00820,P0045,2,64.8,Canada,2024-05-05
T0000349,C01263,P0086,1,56.1,USA,2024-03-25
T0000350,C01432,P0088,4,85.16,Israel,2024-02-10
T0000351,C00428,P0163,5,66.75,USA,2024-05-13
T0000352,C00077,P0129,4,31.55,Israel,2024-09-24
T0000353,C01345,P0084,5,256.6,Germany,2024-06-13
T0000354,C01895,P0042,1,109.29,UK,2024-04-08
T0000355,C00143,P0070,1,18.19,USA,2024-10-24
T0000356,C00231,P0103,1,397.71,Brazil,2024-03-31
T0000357,C01150,P0180,5,393.42,USA,2024-04-27
T0000358,C01211,P0054,4,218.22,Italy,2024-10-04
T0000359,C00225,P0180,1,357.79,Brazil,2024-07-28
T0000360,C00552,P0129,3,36.03,UK,2024-10-13
T0000361,C00722,P0101,3,418.84,Germany,2024-08-15
T0000362,C01141,P0134,4,212.51,Israel,2024-08-24
T0000363,C00678,P0061,1,413.25,Italy,2024-02-21
T0000364,C00461,P0090,3,184.08,Israel,2024-07-05
T0000365,C00721,P0125,1,129.45,Italy,2024-03-07
T0000366,C01031,P0028,3,465.68,Japan,2024-04-22
T0000367,C00759,P0111,3,401.08,Spain,2024-03-30
T0000368,C01082,P0074,4,119.49,Israel,2024-03-21
T0000369,C00628,P0075,5,382.21,USA,2024-08-13
T0000370,C00202,P0140,4,225.8,Japan,2024-07-27
T0000371,C01136,P0023,5,409.34,Canada,2024-09-10
T0000372,C00432,P0149,4,395.53,Canada,2024-12-14
T0000373,C00535,P0152,5,374.47,Spain,2024-01-21
T0000374,C01648,P0185,3,339.29,UK,2024-03-24
T0000375,C00654,P0078,5,393.41,Spain,2024-06-21
T0000376,C01598,P0132,5,254.73,USA,2024-02-08
T0000377,C00256,P0041,4,204.16,Israel,2024-04-05
T0000378,C00364,P0057,5,107.33,Brazil,2024-04-29
T0000379,C00791,P0155,4,30.22,Spain,2024-08-21
T0000380,C01483,P0142,4,68.01,Canada,2024-10-05
T0000381,C01266,P0088,5,77.43,Germany,2024-05-10
T0000382,C00384,P0125,1,136.93,France,2024-04-16
T0000383,C00250,P0024,2,405.99,Brazil,2024-05-25
T0000384,C01922,P0017,3,275.23,Japan,2024-12-19
T0000385,C01588,P0185,1,351.37,Japan,2024-03-08
T0000386,C01287,P0142,3,69.38,Germany,2024-01-09
T0000387,C00136,P0099,3,203.4,France,2024-11-28
T0000388,C01326,P0084,1,275.0,Spain,2024-06-09
T0000389,C00572,P0090,4,174.03,Italy,2024-04-20
T0000390,C01123,P0185,3,365.19,Japan,2024-02-08
T0000391,C01091,P0077,2,68.75,USA,2024-10-12
T0000392,C00438,P0152,5,397.66,Brazil,2024-01-14
T0000393,C01104,P0057,3,96.39,Germany,2024-12-20
T0000394,C00361,P0177,1,147.47,Brazil,2024-02-17
T0000395,C01447,P0136,4,162.49,Spain,2024-02-25
T0000396,C01484,P0019,5,215.89,Canada,2024-05-29
T0000397,C01151,P0125,4,118.2,Canada,2024-11-30
T0000398,C01243,P0170,4,391.12,Japan,2024-01-16
T0000399,C01623,P0046,1,320.33,Canada,2024-09-19
T0000400,C01650,P0175,3,250.42,Brazil,2024-10-21
T0000401,C01627,P0125,3,119.7,Israel,2024-12-09
T0000402,C01078,P0004,2,160.33,Japan,2024-09-11
T0000403,C00857,P0011,5,367.88,France,2024-06-23
T0000404,C00526,P0175,4,236.95,France,2024-07-18
T0000405,C00889,P0019,2,218.75,Canada,2024-12-26
T0000406,C01164,P0170,3,406.48,Japan,2024-05-04
T0000407,C00533,P0087,2,122.27,Japan,2024-06-14
T0000408,C01008,P0146,1,220.84,Germany,2024-07-17
T0000409,C00461,P0117,2,178.69,Canada,2024-09-16
T0000410,C01555,P0088,4,78.96,Germany,2024-04-17
T0000411,C00442,P0032,5,444.39,UK,2024-06-13
T0000412,C01424,P0046,5,375.87,Brazil,2024-05-04
T0000413,C01632,P0077,3,78.53,Italy,2024-09-12
T0000414,C01695,P0103,2,369.64,Brazil,2024-09-19
T0000415,C01041,P0048,3,310.39,Brazil,2024-01-20
T0000416,C01116,P0062,3,174.4,UK,2024-06-14
T0000417,C00612,P0090,4,166.73,Japan,2024-06-07
T0000418,C01565,P0101,3,488.71,Brazil,2024-09-26
T0000419,C01591,P0084,4,237.4,Japan,2024-09-04
T0000420,C00257,P0190,5,361.74,Japan,2024-07-01
T0000421,C01866,P0000,4,191.66,UK,2024-04-05
T0000422,C01745,P0015,2,139.51,Germany,2024-11-17
T0000423,C00901,P0125,1,120.8,Israel,2024-10-23
T0000424,C01256,P0136,2,162.48,Israel,2024-04-09
T0000425,C00401,P0048,4,338.43,Brazil,2024-05-28
T0000426,C00370,P0054,2,218.18,Japan,2024-02-07
T0000427,C01058,P0106,4,86.3,Israel,2024-04-04
T0000428,C00645,P0057,5,95.92,Italy,2024-11-14
T0000429,C00402,P0075,2,381.83,Italy,2024-10-26
T0000430,C01043,P0046,5,324.96,Japan,2024-10-24
T0000431,C01228,P0059,5,302.2,Italy,2024-07-31
T0000432,C01900,P0180,2,381.22,Spain,2024-05-28
T0000433,C00299,P0134,3,189.01,France,2024-09-13
T0000434,C00244,P0156,2,249.59,UK,2024-08-30
T0000435,C00771,P0109,5,45.19,Germany,2024-12-15
T0000436,C01908,P0106,4,86.69,Italy,2024-08-07
T0000437,C00953,P0134,2,193.16,Italy,2024-04-30
T0000438,C01322,P0046,4,375.43,UK,2024-07-20
T0000439,C01543,P0046,5,373.28,UK,2024-01-05
T0000440,C00864,P0095,3,209.35,France,2024-01-30
T0000441,C01657,P0076,3,264.64,Israel,2024-04-10
T0000442,C01707,P0034,4,152.54,UK,2024-08-09
T0000443,C01043,P0095,3,177.05,Japan,2024-09-23
T0000444,C00187,P0134,2,231.08,Japan,2024-04-03
T0000445,C00736,P0031,5,363.52,Israel,2024-11-17
T0000446,C01694,P0100,1,127.81,Spain,2024-06-02
T0000447,C00394,P0094,2,262.38,Brazil,2024-10-12
T0000448,C00547,P0084,1,225.28,Spain,2024-06-07
T0000449,C01241,P0075,4,326.43,Canada,2024-03-18
T0000450,C01282,P0066,1,337.46,France,2024-01-17
T0000451,C00242,P0019,4,208.2,UK,2024-11-26
T0000452,C01848,P0013,1,120.51,Canada,2024-02-08
T0000453,C01312,P0183,4,110.97,Germany,2024-12-14
T0000454,C00861,P0025,3,309.62,Italy,2024-04-08
T0000455,C00526,P0088,2,84.89,France,2024-05-24
T0000456,C00054,P0184,4,420.64,Canada,2024-08-04
T0000457,C01198,P0193,5,186.95,Brazil,2024-07-10
T0000458,C00807,P0138,4,50.82,UK,2024-04-28
T0000459,C01840,P0062,5,167.68,Italy,2024-02-21
T0000460,C01760,P0049,3,307.4,Italy,2024-04-09
T0000461,C01205,P0141,2,189.92,Italy,2024-03-31
T0000462,C01895,P0013,4,133.82,France,2024-07-12
T0000463,C01183,P0120,3,139.26,UK,2024-06-26
T0000464,C00911,P0117,5,174.76,USA,2024-10-22
T0000465,C00332,P0147,2,361.68,France,2024-05-22
T0000466,C00589,P0048,1,341.77,USA,2024-09-21
T0000467,C00726,P0084,1,244.46,USA,2024-04-28
T0000468,C01866,P0103,2,366.63,Canada,2024-08-08
